
2024/01/10 (23:25:05) | ===> btop++ v.1.2.13
2024/01/10 (23:25:05) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/01/10 (23:25:11) | ===> btop++ v.1.2.13
2024/01/10 (23:25:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/12 (00:27:06) | ===> btop++ v.1.2.13
2024/01/12 (00:27:06) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/01/12 (00:27:10) | ===> btop++ v.1.2.13
2024/01/12 (00:27:10) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/01/12 (04:12:25) | WARNING: Failed to join _runner thread on exit!

2024/01/13 (19:12:45) | ===> btop++ v.1.2.13
2024/01/13 (19:12:45) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/01/13 (19:12:51) | ===> btop++ v.1.2.13
2024/01/13 (19:12:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/14 (03:48:20) | ===> btop++ v.1.2.13
2024/01/14 (03:48:20) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/01/14 (03:48:28) | ===> btop++ v.1.2.13
2024/01/14 (03:48:28) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/14 (19:08:22) | ===> btop++ v.1.2.13
2024/01/14 (19:08:22) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/15 (01:36:59) | ===> btop++ v.1.2.13
2024/01/15 (01:36:59) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/15 (13:12:58) | ===> btop++ v.1.2.13
2024/01/15 (13:12:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/15 (22:21:48) | ===> btop++ v.1.2.13
2024/01/15 (22:21:48) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/01/15 (22:30:06) | ===> btop++ v.1.2.13
2024/01/15 (22:30:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/16 (03:13:02) | ===> btop++ v.1.2.13
2024/01/16 (03:13:02) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/16 (03:17:28) | ===> btop++ v.1.2.13
2024/01/16 (03:17:28) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/16 (13:18:44) | ===> btop++ v.1.2.13
2024/01/16 (13:18:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/16 (19:57:20) | ===> btop++ v.1.2.13
2024/01/16 (19:57:20) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/17 (13:25:48) | ===> btop++ v.1.2.13
2024/01/17 (13:25:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/18 (22:42:27) | ===> btop++ v.1.2.13
2024/01/18 (22:42:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/22 (22:06:40) | ===> btop++ v.1.2.13
2024/01/22 (22:06:40) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/01/22 (22:06:44) | ===> btop++ v.1.2.13
2024/01/22 (22:06:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/02/04 (23:28:51) | ===> btop++ v.1.2.13
2024/02/04 (23:28:51) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/02/04 (23:28:55) | ===> btop++ v.1.2.13
2024/02/04 (23:28:55) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/02/04 (23:34:13) | ===> btop++ v.1.2.13
2024/02/04 (23:34:13) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

